date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:12	960825/960825	---M--	200	added ('OK')	image/jpeg	etag:%225af0b4c8-ea939%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/03/2.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/03/2.jpg	(from https://www.sitepro.com.ar/web/)
09:37:12	3638/3638	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2017:54:40%20GMT	https://siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-014.png	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-014.png	(from https://www.sitepro.com.ar/web/)
09:37:12	37063/37063	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:20%20GMT	https://www.sitepro.com.ar/web/productos/firma-digital/4identity/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/firma-digital/4identity/index.html	(from https://www.sitepro.com.ar/web/)
09:37:12	440165/440165	---M--	200	added ('OK')	image/jpeg	etag:%225af0b4c8-6b765%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/03/3.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/03/3.jpg	(from https://www.sitepro.com.ar/web/)
09:37:12	3458/3458	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2017:54:41%20GMT	https://siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-024.png	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-024.png	(from https://www.sitepro.com.ar/web/)
09:37:12	35904/35904	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:21%20GMT	https://www.sitepro.com.ar/web/productos/proteccion-de-datos/safenet-payment-hsm/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/proteccion-de-datos/safenet-payment-hsm/index.html	(from https://www.sitepro.com.ar/web/)
09:37:13	3459/3459	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2017:54:41%20GMT	https://siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-034.png	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-034.png	(from https://www.sitepro.com.ar/web/)
09:37:13	3314/3314	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2017:54:43%20GMT	https://siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-044.png	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-044.png	(from https://www.sitepro.com.ar/web/)
09:37:13	35413/35413	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:22%20GMT	https://www.sitepro.com.ar/web/productos/proteccion-de-datos/safenet-protectserver/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/proteccion-de-datos/safenet-protectserver/index.html	(from https://www.sitepro.com.ar/web/)
09:37:13	2899/2899	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202018%2017:54:44%20GMT	https://siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-054.png	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/siteprocomar.files.wordpress.com/2018/01/nuestras-soluciones-054.png	(from https://www.sitepro.com.ar/web/)
